Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4927011826,echad252,0,139.5,DST Commanders  FLEX Jonathan Taylor QB Bryce Young RB Jahmyr Gibbs RB Josh Jacobs TE Ja'Tavion Sanders WR Matthew Golden WR Christian Watson WR Alec Pierce,,Jahmyr Gibbs,RB,80.36%,39.2
2,4926626468,trapp365,0,137.8,DST Packers  FLEX Chuba Hubbard QB Bryce Young RB Jahmyr Gibbs RB Alvin Kamara TE Sam LaPorta WR Matthew Golden WR Xavier Legette WR Tetairoa McMillan,,Christian Watson,WR,51.79%,5.3
3,4927164986,lpustay,0,129.92,DST Packers  FLEX Sam LaPorta QB Spencer Rattler RB Jahmyr Gibbs RB Jonathan Taylor TE Tucker Kraft WR Amon-Ra St. Brown WR Michael Pittman Jr. WR Rashid Shaheed,,Jonathan Taylor,RB,51.79%,16.9
4,4927028035,caporelli,0,128.9,DST Packers  FLEX Tetairoa McMillan QB Daniel Jones RB Jahmyr Gibbs RB Jonathan Taylor TE Tucker Kraft WR Chris Olave WR Jameson Williams WR Noah Brown,,Jayden Daniels,QB,44.64%,16.84
5,4926816010,frquis,0,127.740005,DST Panthers  FLEX Chuba Hubbard QB Jayden Daniels RB Jahmyr Gibbs RB Jonathan Taylor TE Ja'Tavion Sanders WR Deebo Samuel Sr. WR Christian Watson WR Alec Pierce,,Sam LaPorta,TE,44.64%,5
6,4927118874,ASMGR34,0,127.700005,DST Packers  FLEX Rashid Shaheed QB Bryce Young RB Jahmyr Gibbs RB Jonathan Taylor TE Sam LaPorta WR Chris Olave WR Terry McLaurin WR Noah Brown,,Terry McLaurin,WR,44.64%,0
7,4926842574,420Parlay,0,125.74,DST Saints  FLEX Josh Jacobs QB Jayden Daniels RB Jahmyr Gibbs RB Jonathan Taylor TE Tyler Warren WR Alec Pierce WR Rashid Shaheed WR Noah Brown,,Alec Pierce,WR,39.29%,16.1
8,4926960637,poolbash,0,124.759995,DST Panthers  FLEX Austin Ekeler QB Jordan Love RB Jahmyr Gibbs RB Chuba Hubbard TE Tucker Kraft WR Matthew Golden WR Jameson Williams WR Alec Pierce,,Ja'Tavion Sanders,TE,39.29%,5.1
9,4927154859,Chuckpickz,0,123.29999,DST Panthers  FLEX Josh Jacobs QB Daniel Jones RB Jahmyr Gibbs RB Austin Ekeler TE Tyler Warren WR Matthew Golden WR Alec Pierce WR Noah Brown,,Matthew Golden,WR,33.93%,8.1
10,4927187199,RUPT21,0,122.439995,DST Packers  FLEX Alec Pierce QB Jared Goff RB Jahmyr Gibbs RB Chuba Hubbard TE Juwan Johnson WR Terry McLaurin WR Amon-Ra St. Brown WR Michael Pittman Jr.,,Chuba Hubbard,FLEX,32.14%,12.9
