Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,fppg_floor,fppg_ceiling,max_exposure,min_exposure,max_deviation,min_deviation
RB,Josh Jacobs (40786006),Josh Jacobs,40786006,RB/FLEX,7900,HOU@GB 11/17/2025 02:00PM ET,GB,24.978775972760637,0.0,37.46816395914095,100,0,0,0
RB,De'Von Achane (40786008),De'Von Achane,40786008,RB/FLEX,7600,BUF@MIA 11/17/2025 12:00PM ET,MIA,18.256248806080382,0.0,27.384373209120575,100,0,0,0
RB,James Cook III (40786010),James Cook III,40786010,RB/FLEX,7500,BUF@MIA 11/17/2025 12:00PM ET,BUF,17.834626906579267,0.0,26.7519403598689,100,0,0,0
RB,Jonathan Taylor (40786012),Jonathan Taylor,40786012,RB/FLEX,7300,IND@DAL 11/17/2025 04:00PM ET,IND,23.39089429504655,0.0,35.086341442569825,100,0,0,0
QB,Josh Allen (40785994),Josh Allen,40785994,QB,7300,BUF@MIA 11/17/2025 12:00PM ET,BUF,34.51411323606736,0.0,51.77116985410104,100,0,0,0
WR,Tyreek Hill (40786054),Tyreek Hill,40786054,WR/FLEX,7200,BUF@MIA 11/17/2025 12:00PM ET,MIA,18.24761462245386,0.0,27.37142193368079,100,0,0,0
QB,Jordan Love (40785995),Jordan Love,40785995,QB,7100,HOU@GB 11/17/2025 02:00PM ET,GB,22.90880107420512,0.0,34.36320161130768,100,0,0,0
WR,Nico Collins (40786056),Nico Collins,40786056,WR/FLEX,6700,HOU@GB 11/17/2025 02:00PM ET,HOU,17.854292457734257,0.0,26.781438686601383,100,0,0,0
WR,Khalil Shakir (40786058),Khalil Shakir,40786058,WR/FLEX,6600,BUF@MIA 11/17/2025 12:00PM ET,BUF,11.388794375603762,0.0,17.08319156340564,100,0,0,0
WR,Matthew Golden (40786060),Matthew Golden,40786060,WR/FLEX,6400,HOU@GB 11/17/2025 02:00PM ET,GB,14.033046972332604,0.0,21.049570458498906,100,0,0,0
QB,Dak Prescott (40785996),Dak Prescott,40785996,QB,6300,IND@DAL 11/17/2025 04:00PM ET,DAL,19.39342870312044,0.0,29.09014305468066,100,0,0,0
RB,Joe Mixon (40786014),Joe Mixon,40786014,RB/FLEX,6300,HOU@GB 11/17/2025 02:00PM ET,HOU,9.549579431048404,0.0,14.324369146572606,100,0,0,0
WR,CeeDee Lamb (40786062),CeeDee Lamb,40786062,WR/FLEX,6100,IND@DAL 11/17/2025 04:00PM ET,DAL,7.651825504259128,0.0,11.477738256388692,100,0,0,0
QB,Tua Tagovailoa (40785997),Tua Tagovailoa,40785997,QB,5700,BUF@MIA 11/17/2025 12:00PM ET,MIA,19.36374506633069,0.0,29.045617599496033,100,0,0,0
QB,Daniel Jones (40785998),Daniel Jones,40785998,QB,5500,IND@DAL 11/17/2025 04:00PM ET,IND,21.89617546762763,0.0,32.84426320144144,100,0,0,0
WR,Christian Watson (40786064),Christian Watson,40786064,WR/FLEX,5400,HOU@GB 11/17/2025 02:00PM ET,GB,11.38502578261613,0.0,17.077538673924195,100,0,0,0
WR,Michael Pittman Jr. (40786066),Michael Pittman Jr.,40786066,WR/FLEX,5300,IND@DAL 11/17/2025 04:00PM ET,IND,9.388613029651289,0.0,14.082919544476933,100,0,0,0
TE,Tucker Kraft (40786126),Tucker Kraft,40786126,TE/FLEX,5300,HOU@GB 11/17/2025 02:00PM ET,GB,9.048687370559875,0.0,13.573031055839813,100,0,0,0
WR,Jaylen Waddle (40786068),Jaylen Waddle,40786068,WR/FLEX,5200,BUF@MIA 11/17/2025 12:00PM ET,MIA,9.991041906998024,0.0,14.986562860497036,100,0,0,0
WR,George Pickens (40786070),George Pickens,40786070,WR/FLEX,5100,IND@DAL 11/17/2025 04:00PM ET,DAL,9.809030269662143,0.0,14.713545404493214,100,0,0,0
QB,C.J. Stroud (40785999),C.J. Stroud,40785999,QB,5100,HOU@GB 11/17/2025 02:00PM ET,HOU,27.748316521389334,0.0,41.622474782084,100,0,0,0
QB,Anthony Richardson Sr. (40786000),Anthony Richardson Sr.,40786000,QB,5000,IND@DAL 11/17/2025 04:00PM ET,IND,20.38413692835099,0.0,30.576205392526486,100,0,0,0
QB,Joe Milton III (40786001),Joe Milton III,40786001,QB,5000,IND@DAL 11/17/2025 04:00PM ET,DAL,20.34668426069694,0.0,30.52002639104541,100,0,0,0
QB,Davis Mills (40786003),Davis Mills,40786003,QB,5000,HOU@GB 11/17/2025 02:00PM ET,HOU,21.028253327810212,0.0,31.54237999171532,100,0,0,0
QB,Malik Willis (40786004),Malik Willis,40786004,QB,5000,HOU@GB 11/17/2025 02:00PM ET,GB,20.649210125146983,0.0,30.973815187720476,100,0,0,0
QB,Zach Wilson (40786002),Zach Wilson,40786002,QB,5000,BUF@MIA 11/17/2025 12:00PM ET,MIA,20.319461662072833,0.0,30.47919249310925,100,0,0,0
QB,Mitchell Trubisky (40786005),Mitchell Trubisky,40786005,QB,5000,BUF@MIA 11/17/2025 12:00PM ET,BUF,21.30998620510859,0.0,31.964979307662887,100,0,0,0
RB,Javonte Williams (40786016),Javonte Williams,40786016,RB/FLEX,4600,IND@DAL 11/17/2025 04:00PM ET,DAL,28.91212993069144,0.0,43.36819489603716,100,0,0,0
WR,Alec Pierce (40786072),Alec Pierce,40786072,WR/FLEX,4600,IND@DAL 11/17/2025 04:00PM ET,IND,13.589401709732988,0.0,20.38410256459948,100,0,0,0
WR,Jayden Reed (40786074),Jayden Reed,40786074,WR/FLEX,4500,HOU@GB 11/17/2025 02:00PM ET,GB,11.683016227290905,0.0,17.524524340936356,100,0,0,0
TE,Dalton Kincaid (40786128),Dalton Kincaid,40786128,TE/FLEX,4400,BUF@MIA 11/17/2025 12:00PM ET,BUF,14.9343236102641,0.0,22.40148541539615,100,0,0,0
TE,Jake Ferguson (40786130),Jake Ferguson,40786130,TE/FLEX,4300,IND@DAL 11/17/2025 04:00PM ET,DAL,18.006873664099327,0.0,27.01031049614899,100,0,0,0
WR,Keon Coleman (40786076),Keon Coleman,40786076,WR/FLEX,4300,BUF@MIA 11/17/2025 12:00PM ET,BUF,11.938964258852383,0.0,17.908446388278577,100,0,0,0
WR,Christian Kirk (40786078),Christian Kirk,40786078,WR/FLEX,4200,HOU@GB 11/17/2025 02:00PM ET,HOU,17.032857382122337,0.0,25.549286073183506,100,0,0,0
TE,Tyler Warren (40786132),Tyler Warren,40786132,TE/FLEX,4100,IND@DAL 11/17/2025 04:00PM ET,IND,12.157483454728602,0.0,18.2362251820929,100,0,0,0
