Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,fppg_floor,fppg_ceiling,max_exposure,min_exposure,max_deviation,min_deviation
QB,Jayden Daniels (40797534),Jayden Daniels,40797534,QB,7600,WAS@GB 11/21/2025 10:00PM ET,WAS,23.94111229190553,0.0,35.911668437858296,100,0,0,0
RB,Travis Etienne Jr. (40797546),Travis Etienne Jr.,40797546,RB/FLEX,7600,IND@JAX 11/21/2025 08:00PM ET,JAX,15.112978331022084,0.0,22.669467496533127,100,0,0,0
RB,Josh Jacobs (40797548),Josh Jacobs,40797548,RB/FLEX,7500,WAS@GB 11/21/2025 10:00PM ET,GB,14.545130183167142,0.0,21.81769527475071,100,0,0,0
QB,Patrick Mahomes (40797535),Patrick Mahomes,40797535,QB,7500,CAR@KC 11/21/2025 06:00PM ET,KC,23.876293201018857,0.0,35.81443980152829,100,0,0,0
WR,Rashee Rice (40797586),Rashee Rice,40797586,WR/FLEX,7100,CAR@KC 11/21/2025 06:00PM ET,KC,11.251774439499965,0.0,16.877661659249945,100,0,0,0
WR,Terry McLaurin (40797588),Terry McLaurin,40797588,WR/FLEX,7000,WAS@GB 11/21/2025 10:00PM ET,WAS,12.74475517205939,0.0,19.117132758089085,100,0,0,0
RB,Jonathan Taylor (40797550),Jonathan Taylor,40797550,RB/FLEX,7000,IND@JAX 11/21/2025 08:00PM ET,IND,14.500490600240743,0.0,21.750735900361114,100,0,0,0
QB,Jordan Love (40797536),Jordan Love,40797536,QB,6900,WAS@GB 11/21/2025 10:00PM ET,GB,23.695276106889736,0.0,35.542914160334604,100,0,0,0
WR,Brian Thomas Jr. (40797590),Brian Thomas Jr.,40797590,WR/FLEX,6300,IND@JAX 11/21/2025 08:00PM ET,JAX,11.284791766858856,0.0,16.927187650288282,100,0,0,0
RB,Isiah Pacheco (40797552),Isiah Pacheco,40797552,RB/FLEX,6300,CAR@KC 11/21/2025 06:00PM ET,KC,14.20488519688044,0.0,21.30732779532066,100,0,0,0
WR,Matthew Golden (40797592),Matthew Golden,40797592,WR/FLEX,6100,WAS@GB 11/21/2025 10:00PM ET,GB,12.254924242628922,0.0,18.382386363943382,100,0,0,0
WR,Deebo Samuel Sr. (40797594),Deebo Samuel Sr.,40797594,WR/FLEX,5900,WAS@GB 11/21/2025 10:00PM ET,WAS,11.815317897990152,0.0,17.722976846985226,100,0,0,0
RB,Chuba Hubbard (40797554),Chuba Hubbard,40797554,RB/FLEX,5500,CAR@KC 11/21/2025 06:00PM ET,CAR,14.468715142430996,0.0,21.703072713646495,100,0,0,0
RB,Austin Ekeler (40797556),Austin Ekeler,40797556,RB/FLEX,5400,WAS@GB 11/21/2025 10:00PM ET,WAS,14.38784199115122,0.0,21.58176298672683,100,0,0,0
TE,Travis Kelce (40797654),Travis Kelce,40797654,TE/FLEX,5400,CAR@KC 11/21/2025 06:00PM ET,KC,9.087153494690146,0.0,13.630730242035218,100,0,0,0
QB,Daniel Jones (40797537),Daniel Jones,40797537,QB,5300,IND@JAX 11/21/2025 08:00PM ET,IND,23.04015584331948,0.0,34.560233764979216,100,0,0,0
WR,Hollywood Brown (40797596),Hollywood Brown,40797596,WR/FLEX,5300,CAR@KC 11/21/2025 06:00PM ET,KC,11.222128215084068,0.0,16.8331923226261,100,0,0,0
WR,Christian Watson (40797598),Christian Watson,40797598,WR/FLEX,5200,WAS@GB 11/21/2025 10:00PM ET,GB,11.991523219887313,0.0,17.98728482983097,100,0,0,0
TE,Tucker Kraft (40797656),Tucker Kraft,40797656,TE/FLEX,5200,WAS@GB 11/21/2025 10:00PM ET,GB,9.946923946175335,0.0,14.920385919263003,100,0,0,0
QB,Trevor Lawrence (40797538),Trevor Lawrence,40797538,QB,5200,IND@JAX 11/21/2025 08:00PM ET,JAX,23.23130392571377,0.0,34.846955888570655,100,0,0,0
WR,Michael Pittman Jr. (40797600),Michael Pittman Jr.,40797600,WR/FLEX,5100,IND@JAX 11/21/2025 08:00PM ET,IND,11.534415542680152,0.0,17.30162331402023,100,0,0,0
QB,Bryce Young (40797539),Bryce Young,40797539,QB,5100,CAR@KC 11/21/2025 06:00PM ET,CAR,22.932808929179128,0.0,34.39921339376869,100,0,0,0
QB,Marcus Mariota (40797543),Marcus Mariota,40797543,QB,5000,WAS@GB 11/21/2025 10:00PM ET,WAS,20.670098100236025,0.0,31.005147150354038,100,0,0,0
QB,Malik Willis (40797544),Malik Willis,40797544,QB,5000,WAS@GB 11/21/2025 10:00PM ET,GB,20.73330002248133,0.0,31.099950033721996,100,0,0,0
QB,Anthony Richardson Sr. (40797540),Anthony Richardson Sr.,40797540,QB,5000,IND@JAX 11/21/2025 08:00PM ET,IND,20.50577768906848,0.0,30.75866653360272,100,0,0,0
QB,Nick Mullens (40797545),Nick Mullens,40797545,QB,5000,IND@JAX 11/21/2025 08:00PM ET,JAX,20.54146163689422,0.0,30.81219245534133,100,0,0,0
QB,Gardner Minshew II (40797541),Gardner Minshew II,40797541,QB,5000,CAR@KC 11/21/2025 06:00PM ET,KC,20.592370593679032,0.0,30.888555890518546,100,0,0,0
QB,Andy Dalton (40797542),Andy Dalton,40797542,QB,5000,CAR@KC 11/21/2025 06:00PM ET,CAR,20.59358256615024,0.0,30.89037384922536,100,0,0,0
WR,Xavier Worthy (40797602),Xavier Worthy,40797602,WR/FLEX,4800,CAR@KC 11/21/2025 06:00PM ET,KC,11.770570551817942,0.0,17.655855827726914,100,0,0,0
WR,Jayden Reed (40797604),Jayden Reed,40797604,WR/FLEX,4700,WAS@GB 11/21/2025 10:00PM ET,GB,10.974367201971546,0.0,16.46155080295732,100,0,0,0
WR,Xavier Legette (40797606),Xavier Legette,40797606,WR/FLEX,4600,CAR@KC 11/21/2025 06:00PM ET,CAR,10.836938526716825,0.0,16.25540779007524,100,0,0,0
WR,Alec Pierce (40797608),Alec Pierce,40797608,WR/FLEX,4500,IND@JAX 11/21/2025 08:00PM ET,IND,11.068355360567578,0.0,16.602533040851366,100,0,0,0
WR,Travis Hunter (40797610),Travis Hunter,40797610,WR/FLEX,4400,IND@JAX 11/21/2025 08:00PM ET,JAX,11.801868943433778,0.0,17.70280341515067,100,0,0,0
TE,Tyler Warren (40797658),Tyler Warren,40797658,TE/FLEX,4100,IND@JAX 11/21/2025 08:00PM ET,IND,9.715831669688637,0.0,14.573747504532955,100,0,0,0
WR,Tetairoa McMillan (40797612),Tetairoa McMillan,40797612,WR/FLEX,3800,CAR@KC 11/21/2025 06:00PM ET,CAR,11.02633627405402,0.0,16.53950441108103,100,0,0,0
WR,Noah Brown (40797614),Noah Brown,40797614,WR/FLEX,3500,WAS@GB 11/21/2025 10:00PM ET,WAS,11.47280568729962,0.0,17.20920853094943,100,0,0,0
WR,Tim Patrick (40797616),Tim Patrick,40797616,WR/FLEX,3400,IND@JAX 11/21/2025 08:00PM ET,JAX,10.686515763037292,0.0,16.029773644555938,100,0,0,0
TE,Zach Ertz (40797660),Zach Ertz,40797660,TE/FLEX,3300,WAS@GB 11/21/2025 10:00PM ET,WAS,8.909706861819917,0.0,13.364560292729875,100,0,0,0
DST,Packers  (40797690),Packers ,40797690,DST,3300,WAS@GB 11/21/2025 10:00PM ET,GB,2.7518701109699375,0.0,4.127805166454906,100,0,0,0
WR,Jalen Coker (40797618),Jalen Coker,40797618,WR/FLEX,3300,CAR@KC 11/21/2025 06:00PM ET,CAR,11.481876528114745,0.0,17.222814792172116,100,0,0,0
DST,Commanders  (40797691),Commanders ,40797691,DST,3200,WAS@GB 11/21/2025 10:00PM ET,WAS,2.7481498498275414,0.0,4.122224774741312,100,0,0,0
WR,Josh Downs (40797620),Josh Downs,40797620,WR/FLEX,3200,IND@JAX 11/21/2025 08:00PM ET,IND,10.622044395237664,0.0,15.933066592856495,100,0,0,0
TE,Brenton Strange (40797662),Brenton Strange,40797662,TE/FLEX,3200,IND@JAX 11/21/2025 08:00PM ET,JAX,9.41391077000835,0.0,14.120866155012525,100,0,0,0
RB,Kareem Hunt (40797558),Kareem Hunt,40797558,RB/FLEX,3200,CAR@KC 11/21/2025 06:00PM ET,KC,13.963143110684452,0.0,20.944714666026677,100,0,0,0
WR,Romeo Doubs (40797622),Romeo Doubs,40797622,WR/FLEX,3100,WAS@GB 11/21/2025 10:00PM ET,GB,10.397100691694886,0.0,15.595651037542329,100,0,0,0
RB,Rico Dowdle (40797560),Rico Dowdle,40797560,RB/FLEX,3100,CAR@KC 11/21/2025 06:00PM ET,CAR,12.893664336499992,0.0,19.340496504749986,100,0,0,0
TE,Ja'Tavion Sanders (40797664),Ja'Tavion Sanders,40797664,TE/FLEX,3100,CAR@KC 11/21/2025 06:00PM ET,CAR,9.320062689104962,0.0,13.980094033657442,100,0,0,0
DST,Chiefs  (40797692),Chiefs ,40797692,DST,3100,CAR@KC 11/21/2025 06:00PM ET,KC,2.6559030679815314,0.0,3.983854601972297,100,0,0,0
RB,MarShawn Lloyd (40797564),MarShawn Lloyd,40797564,RB/FLEX,3000,WAS@GB 11/21/2025 10:00PM ET,GB,12.242373640894868,0.0,18.363560461342303,100,0,0,0
RB,Jacory Croskey-Merritt (40797568),Jacory Croskey-Merritt,40797568,RB/FLEX,3000,WAS@GB 11/21/2025 10:00PM ET,WAS,14.986768154604526,0.0,22.48015223190679,100,0,0,0
RB,Chris Rodriguez Jr. (40797576),Chris Rodriguez Jr.,40797576,RB/FLEX,3000,WAS@GB 11/21/2025 10:00PM ET,WAS,13.245037521141509,0.0,19.86755628171226,100,0,0,0
RB,Chris Brooks (40797580),Chris Brooks,40797580,RB/FLEX,3000,WAS@GB 11/21/2025 10:00PM ET,GB,13.02434285597166,0.0,19.53651428395749,100,0,0,0
RB,Ben Sims (40797584),Ben Sims,40797584,RB/FLEX,3000,WAS@GB 11/21/2025 10:00PM ET,GB,13.264837322477486,0.0,19.897255983716228,100,0,0,0
WR,Jaylin Lane (40797632),Jaylin Lane,40797632,WR/FLEX,3000,WAS@GB 11/21/2025 10:00PM ET,WAS,9.67504776516285,0.0,14.512571647744274,100,0,0,0
WR,Dontayvion Wicks (40797634),Dontayvion Wicks,40797634,WR/FLEX,3000,WAS@GB 11/21/2025 10:00PM ET,GB,9.431005938486392,0.0,14.146508907729586,100,0,0,0
WR,Luke McCaffrey (40797644),Luke McCaffrey,40797644,WR/FLEX,3000,WAS@GB 11/21/2025 10:00PM ET,WAS,9.434851844867044,0.0,14.152277767300566,100,0,0,0
WR,Savion Williams (40797646),Savion Williams,40797646,WR/FLEX,3000,WAS@GB 11/21/2025 10:00PM ET,GB,10.293536003601488,0.0,15.440304005402233,100,0,0,0
RB,Tank Bigsby (40797562),Tank Bigsby,40797562,RB/FLEX,3000,IND@JAX 11/21/2025 08:00PM ET,JAX,13.96835815500902,0.0,20.952537232513528,100,0,0,0
RB,DJ Giddens (40797566),DJ Giddens,40797566,RB/FLEX,3000,IND@JAX 11/21/2025 08:00PM ET,IND,13.19720209379688,0.0,19.79580314069532,100,0,0,0
RB,Bhayshul Tuten (40797570),Bhayshul Tuten,40797570,RB/FLEX,3000,IND@JAX 11/21/2025 08:00PM ET,JAX,12.53560184559353,0.0,18.803402768390292,100,0,0,0
RB,Tyler Goodson (40797578),Tyler Goodson,40797578,RB/FLEX,3000,IND@JAX 11/21/2025 08:00PM ET,IND,13.327530296309677,0.0,19.991295444464516,100,0,0,0
RB,Will Mallory (40797582),Will Mallory,40797582,RB/FLEX,3000,IND@JAX 11/21/2025 08:00PM ET,IND,13.54252331281712,0.0,20.31378496922568,100,0,0,0
WR,Dyami Brown (40797624),Dyami Brown,40797624,WR/FLEX,3000,IND@JAX 11/21/2025 08:00PM ET,JAX,9.588582907941378,0.0,14.382874361912066,100,0,0,0
WR,Adonai Mitchell (40797628),Adonai Mitchell,40797628,WR/FLEX,3000,IND@JAX 11/21/2025 08:00PM ET,IND,9.344516311385618,0.0,14.016774467078427,100,0,0,0
WR,Ashton Dulin (40797636),Ashton Dulin,40797636,WR/FLEX,3000,IND@JAX 11/21/2025 08:00PM ET,IND,9.36920422898292,0.0,14.05380634347438,100,0,0,0
WR,Parker Washington (40797638),Parker Washington,40797638,WR/FLEX,3000,IND@JAX 11/21/2025 08:00PM ET,JAX,9.687334578330582,0.0,14.531001867495872,100,0,0,0
WR,Anthony Gould (40797648),Anthony Gould,40797648,WR/FLEX,3000,IND@JAX 11/21/2025 08:00PM ET,IND,9.443267981774822,0.0,14.164901972662232,100,0,0,0
DST,Colts  (40797693),Colts ,40797693,DST,3000,IND@JAX 11/21/2025 08:00PM ET,IND,2.4634670330518045,0.0,3.6952005495777067,100,0,0,0
RB,Elijah Mitchell (40797572),Elijah Mitchell,40797572,RB/FLEX,3000,CAR@KC 11/21/2025 06:00PM ET,KC,12.766355584893788,0.0,19.14953337734068,100,0,0,0
RB,Trevor Etienne (40797574),Trevor Etienne,40797574,RB/FLEX,3000,CAR@KC 11/21/2025 06:00PM ET,CAR,13.083247676388764,0.0,19.624871514583145,100,0,0,0
WR,JuJu Smith-Schuster (40797626),JuJu Smith-Schuster,40797626,WR/FLEX,3000,CAR@KC 11/21/2025 06:00PM ET,KC,9.298888463527694,0.0,13.94833269529154,100,0,0,0
WR,Hunter Renfrow (40797630),Hunter Renfrow,40797630,WR/FLEX,3000,CAR@KC 11/21/2025 06:00PM ET,CAR,9.48791978150923,0.0,14.231879672263846,100,0,0,0
WR,Jalen Royals (40797640),Jalen Royals,40797640,WR/FLEX,3000,CAR@KC 11/21/2025 06:00PM ET,KC,9.51678337342022,0.0,14.27517506013033,100,0,0,0
WR,David Moore (40797642),David Moore,40797642,WR/FLEX,3000,CAR@KC 11/21/2025 06:00PM ET,CAR,9.537295616703831,0.0,14.305943425055748,100,0,0,0
WR,Tyquan Thornton (40797650),Tyquan Thornton,40797650,WR/FLEX,3000,CAR@KC 11/21/2025 06:00PM ET,KC,9.590847126212124,0.0,14.386270689318184,100,0,0,0
WR,Jimmy Horn Jr. (40797652),Jimmy Horn Jr.,40797652,WR/FLEX,3000,CAR@KC 11/21/2025 06:00PM ET,CAR,9.636047287093035,0.0,14.454070930639553,100,0,0,0
DST,Jaguars  (40797694),Jaguars ,40797694,DST,2900,IND@JAX 11/21/2025 08:00PM ET,JAX,2.714453328895471,0.0,4.071679993343206,100,0,0,0
DST,Panthers  (40797695),Panthers ,40797695,DST,2800,CAR@KC 11/21/2025 06:00PM ET,CAR,2.526488822931933,0.0,3.7897332343978993,100,0,0,0
TE,Noah Gray (40797666),Noah Gray,40797666,TE/FLEX,2600,CAR@KC 11/21/2025 06:00PM ET,KC,8.341895676480414,0.0,12.512843514720622,100,0,0,0
TE,Luke Musgrave (40797672),Luke Musgrave,40797672,TE/FLEX,2500,WAS@GB 11/21/2025 10:00PM ET,GB,7.86108322347709,0.0,11.791624835215636,100,0,0,0
TE,John Bates (40797676),John Bates,40797676,TE/FLEX,2500,WAS@GB 11/21/2025 10:00PM ET,WAS,7.3043309127691485,0.0,10.956496369153722,100,0,0,0
TE,Ben Sinnott (40797678),Ben Sinnott,40797678,TE/FLEX,2500,WAS@GB 11/21/2025 10:00PM ET,WAS,7.147837295909927,0.0,10.72175594386489,100,0,0,0
TE,John FitzPatrick (40797688),John FitzPatrick,40797688,TE/FLEX,2500,WAS@GB 11/21/2025 10:00PM ET,GB,7.742729489437922,0.0,11.614094234156884,100,0,0,0
TE,Mo Alie-Cox (40797670),Mo Alie-Cox,40797670,TE/FLEX,2500,IND@JAX 11/21/2025 08:00PM ET,IND,7.338798467309107,0.0,11.00819770096366,100,0,0,0
TE,Johnny Mundt (40797674),Johnny Mundt,40797674,TE/FLEX,2500,IND@JAX 11/21/2025 08:00PM ET,JAX,7.503997981299863,0.0,11.255996971949795,100,0,0,0
TE,Drew Ogletree (40797682),Drew Ogletree,40797682,TE/FLEX,2500,IND@JAX 11/21/2025 08:00PM ET,IND,7.473034943579193,0.0,11.209552415368789,100,0,0,0
TE,Hunter Long (40797686),Hunter Long,40797686,TE/FLEX,2500,IND@JAX 11/21/2025 08:00PM ET,JAX,7.517490992200397,0.0,11.276236488300595,100,0,0,0
TE,Tommy Tremble (40797668),Tommy Tremble,40797668,TE/FLEX,2500,CAR@KC 11/21/2025 06:00PM ET,CAR,7.796484802303396,0.0,11.694727203455093,100,0,0,0
TE,Jared Wiley (40797680),Jared Wiley,40797680,TE/FLEX,2500,CAR@KC 11/21/2025 06:00PM ET,KC,7.12809978558343,0.0,10.692149678375145,100,0,0,0
TE,James Mitchell (40797684),James Mitchell,40797684,TE/FLEX,2500,CAR@KC 11/21/2025 06:00PM ET,CAR,7.377791903142122,0.0,11.066687854713184,100,0,0,0
