Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Ja'Marr Chase (40636816),Ja'Marr Chase,40636816,WR/FLEX,8800,CIN@DAL 11/05/2025 12:00PM ET,CIN,23.46
QB,Joe Burrow (40636760),Joe Burrow,40636760,QB,7800,CIN@DAL 11/05/2025 12:00PM ET,CIN,24.92
QB,Patrick Mahomes (40636761),Patrick Mahomes,40636761,QB,7700,KC@MIA 11/05/2025 02:00PM ET,KC,25.51
RB,Ashton Jeanty (40636772),Ashton Jeanty,40636772,RB/FLEX,7200,LV@DEN 11/05/2025 04:00PM ET,LV,14.7
RB,De'Von Achane (40636774),De'Von Achane,40636774,RB/FLEX,7000,KC@MIA 11/05/2025 02:00PM ET,MIA,16.28
WR,Rashee Rice (40636818),Rashee Rice,40636818,WR/FLEX,6900,KC@MIA 11/05/2025 02:00PM ET,KC,16.34
WR,Tyreek Hill (40636820),Tyreek Hill,40636820,WR/FLEX,6800,KC@MIA 11/05/2025 02:00PM ET,MIA,15.76
RB,Chase Brown (40636776),Chase Brown,40636776,RB/FLEX,6800,CIN@DAL 11/05/2025 12:00PM ET,CIN,21.64
RB,J.K. Dobbins (40636778),J.K. Dobbins,40636778,RB/FLEX,6400,LV@DEN 11/05/2025 04:00PM ET,DEN,17.04
WR,Courtland Sutton (40636822),Courtland Sutton,40636822,WR/FLEX,6400,LV@DEN 11/05/2025 04:00PM ET,DEN,13.34
RB,Isiah Pacheco (40636780),Isiah Pacheco,40636780,RB/FLEX,6300,KC@MIA 11/05/2025 02:00PM ET,KC,15.15
QB,Dak Prescott (40636762),Dak Prescott,40636762,QB,6100,CIN@DAL 11/05/2025 12:00PM ET,DAL,19.54
QB,Bo Nix (40636763),Bo Nix,40636763,QB,6000,LV@DEN 11/05/2025 04:00PM ET,DEN,21.19
WR,Tee Higgins (40636824),Tee Higgins,40636824,WR/FLEX,5800,CIN@DAL 11/05/2025 12:00PM ET,CIN,14.91
WR,CeeDee Lamb (40636826),CeeDee Lamb,40636826,WR/FLEX,5700,CIN@DAL 11/05/2025 12:00PM ET,DAL,11.43
QB,Geno Smith (40636764),Geno Smith,40636764,QB,5600,LV@DEN 11/05/2025 04:00PM ET,LV,21.75
TE,Travis Kelce (40636884),Travis Kelce,40636884,TE/FLEX,5600,KC@MIA 11/05/2025 02:00PM ET,KC,11.23
QB,Tua Tagovailoa (40636765),Tua Tagovailoa,40636765,QB,5500,KC@MIA 11/05/2025 02:00PM ET,MIA,18.35
WR,Hollywood Brown (40636828),Hollywood Brown,40636828,WR/FLEX,5100,KC@MIA 11/05/2025 02:00PM ET,KC,14.89
QB,Kenny Pickett (40636769),Kenny Pickett,40636769,QB,5000,LV@DEN 11/05/2025 04:00PM ET,LV,0
QB,Jarrett Stidham (40636771),Jarrett Stidham,40636771,QB,5000,LV@DEN 11/05/2025 04:00PM ET,DEN,0
QB,Gardner Minshew II (40636766),Gardner Minshew II,40636766,QB,5000,KC@MIA 11/05/2025 02:00PM ET,KC,0
QB,Zach Wilson (40636770),Zach Wilson,40636770,QB,5000,KC@MIA 11/05/2025 02:00PM ET,MIA,0
WR,Xavier Worthy (40636830),Xavier Worthy,40636830,WR/FLEX,5000,KC@MIA 11/05/2025 02:00PM ET,KC,13.53
QB,Jake Browning (40636767),Jake Browning,40636767,QB,5000,CIN@DAL 11/05/2025 12:00PM ET,CIN,0
QB,Joe Milton III (40636768),Joe Milton III,40636768,QB,5000,CIN@DAL 11/05/2025 12:00PM ET,DAL,0
WR,George Pickens (40636832),George Pickens,40636832,WR/FLEX,4900,CIN@DAL 11/05/2025 12:00PM ET,DAL,12.62
WR,Jakobi Meyers (40636834),Jakobi Meyers,40636834,WR/FLEX,4800,LV@DEN 11/05/2025 04:00PM ET,LV,12.51
WR,Jaylen Waddle (40636836),Jaylen Waddle,40636836,WR/FLEX,4700,KC@MIA 11/05/2025 02:00PM ET,MIA,10.33
TE,Jake Ferguson (40636886),Jake Ferguson,40636886,TE/FLEX,4700,CIN@DAL 11/05/2025 12:00PM ET,DAL,10.76
TE,Evan Engram (40636888),Evan Engram,40636888,TE/FLEX,4500,LV@DEN 11/05/2025 04:00PM ET,DEN,10.3
TE,Brock Bowers (40636890),Brock Bowers,40636890,TE/FLEX,4400,LV@DEN 11/05/2025 04:00PM ET,LV,10.2
RB,Javonte Williams (40636782),Javonte Williams,40636782,RB/FLEX,4300,CIN@DAL 11/05/2025 12:00PM ET,DAL,10.57
WR,Marvin Mims Jr. (40636838),Marvin Mims Jr.,40636838,WR/FLEX,3900,LV@DEN 11/05/2025 04:00PM ET,DEN,10.63
WR,Jack Bech (40636840),Jack Bech,40636840,WR/FLEX,3700,LV@DEN 11/05/2025 04:00PM ET,LV,10.06
WR,Andrei Iosivas (40636842),Andrei Iosivas,40636842,WR/FLEX,3500,CIN@DAL 11/05/2025 12:00PM ET,CIN,11.06
WR,Tre Tucker (40636844),Tre Tucker,40636844,WR/FLEX,3400,LV@DEN 11/05/2025 04:00PM ET,LV,7.42
DST,Broncos  (40636920),Broncos ,40636920,DST,3400,LV@DEN 11/05/2025 04:00PM ET,DEN,6.83
RB,RJ Harvey (40636784),RJ Harvey,40636784,RB/FLEX,3300,LV@DEN 11/05/2025 04:00PM ET,DEN,6.6
DST,Chiefs  (40636921),Chiefs ,40636921,DST,3300,KC@MIA 11/05/2025 02:00PM ET,KC,3.25
WR,Jalen Tolbert (40636846),Jalen Tolbert,40636846,WR/FLEX,3300,CIN@DAL 11/05/2025 12:00PM ET,DAL,8.12
TE,Mike Gesicki (40636892),Mike Gesicki,40636892,TE/FLEX,3300,CIN@DAL 11/05/2025 12:00PM ET,CIN,11.07
WR,Troy Franklin (40636848),Troy Franklin,40636848,WR/FLEX,3200,LV@DEN 11/05/2025 04:00PM ET,DEN,6.2
RB,Jaydon Blue (40636786),Jaydon Blue,40636786,RB/FLEX,3200,CIN@DAL 11/05/2025 12:00PM ET,DAL,6.48
RB,Kareem Hunt (40636788),Kareem Hunt,40636788,RB/FLEX,3100,KC@MIA 11/05/2025 02:00PM ET,KC,0.56
WR,Nick Westbrook-Ikhine (40636850),Nick Westbrook-Ikhine,40636850,WR/FLEX,3100,KC@MIA 11/05/2025 02:00PM ET,MIA,6.33
TE,Darren Waller (40636894),Darren Waller,40636894,TE/FLEX,3100,KC@MIA 11/05/2025 02:00PM ET,MIA,9.48
DST,Cowboys  (40636922),Cowboys ,40636922,DST,3100,CIN@DAL 11/05/2025 12:00PM ET,DAL,3
RB,Raheem Mostert (40636790),Raheem Mostert,40636790,RB/FLEX,3000,LV@DEN 11/05/2025 04:00PM ET,LV,0.21
RB,Jaleel McLaughlin (40636798),Jaleel McLaughlin,40636798,RB/FLEX,3000,LV@DEN 11/05/2025 04:00PM ET,DEN,0
