Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Travis Etienne Jr. (40797708),Travis Etienne Jr.,40797708,RB/FLEX,8200,JAX@CAR 11/18/2025 08:00PM ET,JAX,17.64
QB,Patrick Mahomes (40797696),Patrick Mahomes,40797696,QB,8100,NO@KC 11/18/2025 10:00PM ET,KC,26.82
RB,Alvin Kamara (40797710),Alvin Kamara,40797710,RB/FLEX,7700,NO@KC 11/18/2025 10:00PM ET,NO,15.47
QB,Lamar Jackson (40797697),Lamar Jackson,40797697,QB,7700,NYJ@BAL 11/18/2025 06:00PM ET,BAL,23.51
WR,Rashee Rice (40797748),Rashee Rice,40797748,WR/FLEX,7600,NO@KC 11/18/2025 10:00PM ET,KC,16.82
WR,Chris Olave (40797750),Chris Olave,40797750,WR/FLEX,7200,NO@KC 11/18/2025 10:00PM ET,NO,10.84
RB,Derrick Henry (40797712),Derrick Henry,40797712,RB/FLEX,7200,NYJ@BAL 11/18/2025 06:00PM ET,BAL,13.88
RB,Breece Hall (40797714),Breece Hall,40797714,RB/FLEX,7100,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,16.62
RB,Isiah Pacheco (40797716),Isiah Pacheco,40797716,RB/FLEX,6700,NO@KC 11/18/2025 10:00PM ET,KC,16.68
WR,Brian Thomas Jr. (40797752),Brian Thomas Jr.,40797752,WR/FLEX,6600,JAX@CAR 11/18/2025 08:00PM ET,JAX,16.92
QB,Justin Fields (40797698),Justin Fields,40797698,QB,6600,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,23.75
RB,Chuba Hubbard (40797718),Chuba Hubbard,40797718,RB/FLEX,5900,JAX@CAR 11/18/2025 08:00PM ET,CAR,12.9
WR,Hollywood Brown (40797754),Hollywood Brown,40797754,WR/FLEX,5600,NO@KC 11/18/2025 10:00PM ET,KC,16.36
TE,Travis Kelce (40797818),Travis Kelce,40797818,TE/FLEX,5600,NO@KC 11/18/2025 10:00PM ET,KC,11.56
WR,Garrett Wilson (40797756),Garrett Wilson,40797756,WR/FLEX,5500,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,12.11
WR,Zay Flowers (40797758),Zay Flowers,40797758,WR/FLEX,5400,NYJ@BAL 11/18/2025 06:00PM ET,BAL,10.12
QB,Trevor Lawrence (40797699),Trevor Lawrence,40797699,QB,5300,JAX@CAR 11/18/2025 08:00PM ET,JAX,22.44
WR,Xavier Worthy (40797760),Xavier Worthy,40797760,WR/FLEX,5200,NO@KC 11/18/2025 10:00PM ET,KC,13.38
QB,Bryce Young (40797700),Bryce Young,40797700,QB,5200,JAX@CAR 11/18/2025 08:00PM ET,CAR,18.12
QB,Spencer Rattler (40797701),Spencer Rattler,40797701,QB,5100,NO@KC 11/18/2025 10:00PM ET,NO,17.87
QB,Gardner Minshew II (40797702),Gardner Minshew II,40797702,QB,5000,NO@KC 11/18/2025 10:00PM ET,KC,0
QB,Tyler Shough (40797705),Tyler Shough,40797705,QB,5000,NO@KC 11/18/2025 10:00PM ET,NO,0
QB,Andy Dalton (40797703),Andy Dalton,40797703,QB,5000,JAX@CAR 11/18/2025 08:00PM ET,CAR,0
QB,Nick Mullens (40797707),Nick Mullens,40797707,QB,5000,JAX@CAR 11/18/2025 08:00PM ET,JAX,0
WR,Xavier Legette (40797762),Xavier Legette,40797762,WR/FLEX,5000,JAX@CAR 11/18/2025 08:00PM ET,CAR,10.7
QB,Tyrod Taylor (40797704),Tyrod Taylor,40797704,QB,5000,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,0
QB,Cooper Rush (40797706),Cooper Rush,40797706,QB,5000,NYJ@BAL 11/18/2025 06:00PM ET,BAL,0
WR,Allen Lazard (40797764),Allen Lazard,40797764,WR/FLEX,4700,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,11.29
WR,Travis Hunter (40797766),Travis Hunter,40797766,WR/FLEX,4600,JAX@CAR 11/18/2025 08:00PM ET,JAX,9.65
TE,Mark Andrews (40797820),Mark Andrews,40797820,TE/FLEX,4600,NYJ@BAL 11/18/2025 06:00PM ET,BAL,11.24
WR,Tetairoa McMillan (40797768),Tetairoa McMillan,40797768,WR/FLEX,4000,JAX@CAR 11/18/2025 08:00PM ET,CAR,9.48
WR,Rashid Shaheed (40797770),Rashid Shaheed,40797770,WR/FLEX,3800,NO@KC 11/18/2025 10:00PM ET,NO,8.46
WR,DeAndre Hopkins (40797772),DeAndre Hopkins,40797772,WR/FLEX,3700,NYJ@BAL 11/18/2025 06:00PM ET,BAL,8.58
TE,Juwan Johnson (40797822),Juwan Johnson,40797822,TE/FLEX,3500,NO@KC 11/18/2025 10:00PM ET,NO,7.81
WR,Tim Patrick (40797774),Tim Patrick,40797774,WR/FLEX,3500,JAX@CAR 11/18/2025 08:00PM ET,JAX,9.22
WR,Josh Reynolds (40797776),Josh Reynolds,40797776,WR/FLEX,3400,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,5.34
DST,Ravens  (40797854),Ravens ,40797854,DST,3400,NYJ@BAL 11/18/2025 06:00PM ET,BAL,6.82
DST,Chiefs  (40797855),Chiefs ,40797855,DST,3300,NO@KC 11/18/2025 10:00PM ET,KC,3.63
WR,Jalen Coker (40797778),Jalen Coker,40797778,WR/FLEX,3300,JAX@CAR 11/18/2025 08:00PM ET,CAR,6.58
TE,Brenton Strange (40797824),Brenton Strange,40797824,TE/FLEX,3300,JAX@CAR 11/18/2025 08:00PM ET,JAX,9.4
WR,Brandin Cooks (40797780),Brandin Cooks,40797780,WR/FLEX,3200,NO@KC 11/18/2025 10:00PM ET,NO,6.43
TE,Ja'Tavion Sanders (40797826),Ja'Tavion Sanders,40797826,TE/FLEX,3200,JAX@CAR 11/18/2025 08:00PM ET,CAR,9.14
DST,Jets  (40797856),Jets ,40797856,DST,3200,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,4.69
RB,Kareem Hunt (40797720),Kareem Hunt,40797720,RB/FLEX,3100,NO@KC 11/18/2025 10:00PM ET,KC,0.87
DST,Jaguars  (40797857),Jaguars ,40797857,DST,3100,JAX@CAR 11/18/2025 08:00PM ET,JAX,3.5
